model,feature,correctness,groundedness,relevance,helpfulness,alignment
llama3.1:8b,USSD,5,5,5,5,5
llama3.1:8b,USSD,5,5,5,5,5
llama3.1:8b,USSD,3,5,5,5,2
llama3.1:8b,USSD,5,5,5,5,5
llama3.1:8b,USSD,5,5,5,5,5
llama3.1:8b,Mobile App,5,5,5,5,5
llama3.1:8b,Mobile App,5,5,5,5,5
llama3.1:8b,Mobile App,5,5,5,5,5
llama3.1:8b,Mobile App,5,5,5,5,5
llama3.1:8b,Mobile App,5,5,5,5,5
llama3.1:8b,Web Portal,5,5,5,5,5
llama3.1:8b,Web Portal,5,5,5,5,5
llama3.1:8b,Web Portal,5,5,5,5,5
llama3.1:8b,Web Portal,2,5,5,5,3
llama3.1:8b,Web Portal,5,5,5,5,5
mistral,USSD,4,5,5,5,4
mistral,USSD,5,5,5,5,5
mistral,USSD,4,5,5,5,4
mistral,USSD,5,5,5,5,5
mistral,USSD,5,5,5,5,5
mistral,Mobile App,5,5,5,5,5
mistral,Mobile App,5,5,5,5,5
mistral,Mobile App,5,5,5,5,5
mistral,Mobile App,5,5,5,5,5
mistral,Mobile App,5,5,5,5,5
mistral,Web Portal,5,5,5,5,5
mistral,Web Portal,5,5,5,5,5
mistral,Web Portal,5,5,5,5,5
mistral,Web Portal,3,5,5,5,2
mistral,Web Portal,5,5,5,5,5
